date,weekday,is_weekend,is_holiday
2026-07-12,Sunday,1,0
2026-07-13,Monday,0,0
2026-07-14,Tuesday,0,0
2026-07-15,Wednesday,0,0
2026-07-16,Thursday,0,0
2026-07-17,Friday,0,0
2026-07-18,Saturday,1,0
2026-07-19,Sunday,1,0
2026-07-20,Monday,0,0
2026-07-21,Tuesday,0,0
2026-07-22,Wednesday,0,0
2026-07-23,Thursday,0,0
2026-07-24,Friday,0,0
2026-07-25,Saturday,1,0
2026-07-26,Sunday,1,0
2026-07-27,Monday,0,0
2026-07-28,Tuesday,0,0
2026-07-29,Wednesday,0,0
2026-07-30,Thursday,0,0
2026-07-31,Friday,0,0
2026-08-01,Saturday,1,0
2026-08-02,Sunday,1,0
2026-08-03,Monday,0,0
2026-08-04,Tuesday,0,0
2026-08-05,Wednesday,0,0
2026-08-06,Thursday,0,0
2026-08-07,Friday,0,0
2026-08-08,Saturday,1,0
2026-08-09,Sunday,1,0
2026-08-10,Monday,0,0
2026-08-11,Tuesday,0,0
2026-08-12,Wednesday,0,0
2026-08-13,Thursday,0,0
2026-08-14,Friday,0,0
2026-08-15,Saturday,1,0
2026-08-16,Sunday,1,0
2026-08-17,Monday,0,0
2026-08-18,Tuesday,0,0
2026-08-19,Wednesday,0,0
2026-08-20,Thursday,0,0
2026-08-21,Friday,0,0
2026-08-22,Saturday,1,0
2026-08-23,Sunday,1,0
2026-08-24,Monday,0,0
2026-08-25,Tuesday,0,0
