date,location_id,product_category,received_qty,sold_qty,waste_qty
2026-07-12,L01,Category A,57,54,2
2026-07-12,L01,Category B,70,67,3
2026-07-12,L01,Category C,64,50,5
2026-07-12,L01,Category D,74,62,2
2026-07-12,L02,Category A,70,40,4
2026-07-12,L02,Category B,49,35,0
2026-07-12,L02,Category C,94,90,4
2026-07-12,L02,Category D,55,36,2
2026-07-12,L03,Category A,48,35,4
2026-07-12,L03,Category B,63,53,1
2026-07-12,L03,Category C,58,32,5
2026-07-12,L03,Category D,82,57,0
2026-07-13,L01,Category A,86,48,6
2026-07-13,L01,Category B,69,48,3
2026-07-13,L01,Category C,49,28,3
2026-07-13,L01,Category D,80,78,0
2026-07-13,L02,Category A,87,58,3
2026-07-13,L02,Category B,94,60,6
2026-07-13,L02,Category C,62,57,2
2026-07-13,L02,Category D,77,49,5
2026-07-13,L03,Category A,49,25,5
2026-07-13,L03,Category B,45,42,1
2026-07-13,L03,Category C,54,36,5
2026-07-13,L03,Category D,58,43,3
2026-07-14,L01,Category A,89,68,4
2026-07-14,L01,Category B,64,36,1
2026-07-14,L01,Category C,70,54,4
2026-07-14,L01,Category D,55,37,2
2026-07-14,L02,Category A,86,59,6
2026-07-14,L02,Category B,47,34,6
2026-07-14,L02,Category C,95,82,4
2026-07-14,L02,Category D,85,55,6
2026-07-14,L03,Category A,60,52,2
2026-07-14,L03,Category B,74,42,0
2026-07-14,L03,Category C,71,45,5
2026-07-14,L03,Category D,83,82,1
2026-07-15,L01,Category A,82,77,2
2026-07-15,L01,Category B,83,59,0
2026-07-15,L01,Category C,79,62,4
2026-07-15,L01,Category D,55,27,2
2026-07-15,L02,Category A,73,60,6
2026-07-15,L02,Category B,47,32,6
2026-07-15,L02,Category C,68,36,4
2026-07-15,L02,Category D,70,45,3
2026-07-15,L03,Category A,90,66,0
2026-07-15,L03,Category B,81,44,3
2026-07-15,L03,Category C,58,37,5
2026-07-15,L03,Category D,65,42,6
2026-07-16,L01,Category A,61,41,0
2026-07-16,L01,Category B,90,63,4
2026-07-16,L01,Category C,73,57,1
2026-07-16,L01,Category D,73,63,3
2026-07-16,L02,Category A,76,70,2
2026-07-16,L02,Category B,74,43,6
2026-07-16,L02,Category C,84,71,2
2026-07-16,L02,Category D,47,40,0
2026-07-16,L03,Category A,75,39,1
2026-07-16,L03,Category B,69,61,5
2026-07-16,L03,Category C,75,55,6
2026-07-16,L03,Category D,48,36,5
2026-07-17,L01,Category A,91,82,4
2026-07-17,L01,Category B,51,29,3
2026-07-17,L01,Category C,56,36,4
2026-07-17,L01,Category D,67,44,6
