transaction_id,date,location_id,customer_segment,product_category,quantity,net_revenue,status
T000001,2026-07-12,L01,consumer,Category D,2,32.0,completed
T000002,2026-07-12,L01,consumer,Category B,1,14.0,completed
T000003,2026-07-12,L01,consumer,Category A,6,144.0,completed
T000004,2026-07-12,L01,consumer,Category A,1,17.0,completed
T000005,2026-07-12,L01,consumer,Category B,5,60.0,completed
T000006,2026-07-12,L01,consumer,Category C,5,75.0,completed
T000007,2026-07-12,L01,business,Category A,2,26.0,completed
T000008,2026-07-12,L01,consumer,Category A,6,72.0,completed
T000009,2026-07-12,L01,consumer,Category C,6,138.0,completed
T000010,2026-07-12,L01,consumer,Category D,1,18.0,completed
T000011,2026-07-12,L01,consumer,Category A,4,56.0,completed
T000012,2026-07-12,L01,consumer,Category D,6,54.0,completed
T000013,2026-07-12,L01,consumer,Category D,2,22.0,completed
T000014,2026-07-12,L01,consumer,Category C,6,60.0,completed
T000015,2026-07-12,L01,consumer,Category B,1,12.0,completed
T000016,2026-07-12,L01,consumer,Category A,4,84.0,completed
T000017,2026-07-12,L01,business,Category B,2,48.0,completed
T000018,2026-07-12,L01,consumer,Category A,5,105.0,completed
T000019,2026-07-12,L01,consumer,Category C,1,21.0,completed
T000020,2026-07-12,L01,consumer,Category B,3,72.0,completed
T000021,2026-07-12,L01,consumer,Category C,6,114.0,completed
T000022,2026-07-12,L02,consumer,Category B,6,144.0,completed
T000023,2026-07-12,L02,consumer,Category B,6,48.0,completed
T000024,2026-07-12,L02,consumer,Category B,6,54.0,completed
T000025,2026-07-12,L02,consumer,Category C,3,48.0,completed
T000026,2026-07-12,L02,consumer,Category A,1,19.0,completed
T000027,2026-07-12,L02,consumer,Category A,4,76.0,completed
T000028,2026-07-12,L02,consumer,Category B,1,19.0,completed
T000029,2026-07-12,L02,business,Category C,5,65.0,completed
T000030,2026-07-12,L02,consumer,Category C,5,90.0,completed
T000031,2026-07-12,L02,consumer,Category C,6,90.0,completed
T000032,2026-07-12,L02,business,Category C,5,65.0,completed
T000033,2026-07-12,L02,consumer,Category C,3,33.0,completed
T000034,2026-07-12,L02,consumer,Category B,5,60.0,completed
T000035,2026-07-12,L02,consumer,Category C,6,90.0,completed
T000036,2026-07-12,L02,consumer,Category A,2,28.0,completed
T000037,2026-07-12,L02,consumer,Category B,1,17.0,completed
T000038,2026-07-12,L02,consumer,Category B,5,100.0,completed
T000039,2026-07-12,L02,consumer,Category A,6,54.0,completed
T000040,2026-07-12,L02,consumer,Category C,5,55.0,completed
T000041,2026-07-12,L02,consumer,Category D,4,40.0,completed
T000042,2026-07-12,L02,consumer,Category D,1,17.0,completed
T000043,2026-07-12,L03,consumer,Category B,6,102.0,completed
T000044,2026-07-12,L03,consumer,Category A,3,51.0,completed
T000045,2026-07-12,L03,consumer,Category A,5,125.0,completed
T000046,2026-07-12,L03,consumer,Category D,4,96.0,completed
T000047,2026-07-12,L03,consumer,Category C,4,40.0,completed
T000048,2026-07-12,L03,consumer,Category D,1,24.0,completed
T000049,2026-07-12,L03,consumer,Category A,5,50.0,completed
T000050,2026-07-12,L03,business,Category B,1,12.0,completed
T000051,2026-07-12,L03,consumer,Category D,1,9.0,completed
T000052,2026-07-12,L03,consumer,Category C,5,70.0,completed
T000053,2026-07-12,L03,consumer,Category D,5,110.0,completed
T000054,2026-07-12,L03,consumer,Category C,3,60.0,completed
T000055,2026-07-12,L03,consumer,Category B,4,96.0,completed
T000056,2026-07-12,L03,business,Category D,2,18.0,completed
T000057,2026-07-12,L03,business,Category A,4,100.0,completed
T000058,2026-07-12,L03,consumer,Category A,2,36.0,completed
T000059,2026-07-12,L03,business,Category B,5,45.0,completed
T000060,2026-07-13,L01,consumer,Category D,6,108.0,completed
T000061,2026-07-13,L01,consumer,Category B,3,72.0,completed
T000062,2026-07-13,L01,consumer,Category B,6,60.0,completed
T000063,2026-07-13,L01,consumer,Category A,3,60.0,completed
T000064,2026-07-13,L01,consumer,Category A,2,20.0,completed
T000065,2026-07-13,L01,consumer,Category C,2,46.0,completed
T000066,2026-07-13,L01,consumer,Category C,6,60.0,completed
T000067,2026-07-13,L01,business,Category B,5,80.0,completed
T000068,2026-07-13,L01,business,Category D,5,110.0,completed
T000069,2026-07-13,L01,consumer,Category A,6,114.0,completed
T000070,2026-07-13,L01,consumer,Category C,6,138.0,completed
T000071,2026-07-13,L01,consumer,Category A,6,108.0,completed
T000072,2026-07-13,L01,consumer,Category C,3,75.0,completed
T000073,2026-07-13,L01,consumer,Category D,3,72.0,completed
T000074,2026-07-13,L01,business,Category A,6,96.0,completed
T000075,2026-07-13,L01,consumer,Category C,1,9.0,completed
T000076,2026-07-13,L01,business,Category C,2,38.0,completed
T000077,2026-07-13,L01,consumer,Category A,4,80.0,completed
T000078,2026-07-13,L01,consumer,Category D,4,36.0,completed
T000079,2026-07-13,L02,consumer,Category C,3,75.0,completed
T000080,2026-07-13,L02,business,Category A,3,30.0,completed
T000081,2026-07-13,L02,consumer,Category D,6,78.0,completed
T000082,2026-07-13,L02,consumer,Category D,2,48.0,completed
T000083,2026-07-13,L02,business,Category B,5,95.0,completed
T000084,2026-07-13,L02,consumer,Category C,4,76.0,completed
T000085,2026-07-13,L02,consumer,Category C,4,100.0,completed
T000086,2026-07-13,L02,consumer,Category B,3,45.0,completed
T000087,2026-07-13,L02,consumer,Category A,4,60.0,completed
T000088,2026-07-13,L02,consumer,Category A,4,100.0,completed
T000089,2026-07-13,L02,consumer,Category B,6,96.0,completed
T000090,2026-07-13,L02,consumer,Category A,1,18.0,cancelled
T000091,2026-07-13,L02,consumer,Category C,2,18.0,completed
T000092,2026-07-13,L02,consumer,Category B,2,40.0,completed
T000093,2026-07-13,L02,consumer,Category D,1,9.0,completed
T000094,2026-07-13,L02,consumer,Category B,4,36.0,completed
T000095,2026-07-13,L02,consumer,Category B,5,100.0,completed
T000096,2026-07-13,L02,business,Category B,5,125.0,completed
T000097,2026-07-13,L03,business,Category B,5,80.0,completed
T000098,2026-07-13,L03,business,Category A,2,30.0,completed
T000099,2026-07-13,L03,business,Category C,5,100.0,completed
T000100,2026-07-13,L03,consumer,Category D,5,90.0,completed
T000101,2026-07-13,L03,business,Category D,6,90.0,completed
T000102,2026-07-13,L03,consumer,Category A,1,17.0,completed
T000103,2026-07-13,L03,consumer,Category C,2,36.0,completed
T000104,2026-07-13,L03,consumer,Category D,4,32.0,completed
T000105,2026-07-13,L03,consumer,Category C,3,24.0,completed
T000106,2026-07-13,L03,consumer,Category B,6,60.0,completed
T000107,2026-07-13,L03,consumer,Category B,3,39.0,completed
T000108,2026-07-13,L03,consumer,Category C,5,95.0,completed
T000109,2026-07-14,L01,consumer,Category C,5,85.0,completed
T000110,2026-07-14,L01,business,Category A,6,144.0,completed
T000111,2026-07-14,L01,consumer,Category D,5,90.0,completed
T000112,2026-07-14,L01,consumer,Category C,2,28.0,completed
T000113,2026-07-14,L01,business,Category D,3,42.0,completed
T000114,2026-07-14,L01,consumer,Category B,2,40.0,cancelled
T000115,2026-07-14,L01,consumer,Category D,5,110.0,completed
T000116,2026-07-14,L01,business,Category C,3,27.0,completed
T000117,2026-07-14,L01,consumer,Category B,5,45.0,completed
T000118,2026-07-14,L01,consumer,Category A,3,48.0,completed
T000119,2026-07-14,L01,consumer,Category C,1,22.0,completed
T000120,2026-07-14,L01,consumer,Category D,1,22.0,completed
T000121,2026-07-14,L01,consumer,Category B,6,78.0,completed
T000122,2026-07-14,L01,consumer,Category D,5,110.0,completed
T000123,2026-07-14,L01,consumer,Category B,6,144.0,completed
T000124,2026-07-14,L01,business,Category A,5,85.0,completed
T000125,2026-07-14,L01,consumer,Category A,1,9.0,completed
T000126,2026-07-14,L01,consumer,Category D,2,34.0,completed
T000127,2026-07-14,L01,consumer,Category B,1,23.0,completed
T000128,2026-07-14,L01,consumer,Category B,6,132.0,completed
T000129,2026-07-14,L01,consumer,Category C,6,114.0,completed
T000130,2026-07-14,L02,consumer,Category C,5,95.0,completed
T000131,2026-07-14,L02,consumer,Category B,2,26.0,completed
T000132,2026-07-14,L02,consumer,Category A,5,80.0,completed
T000133,2026-07-14,L02,consumer,Category C,6,48.0,completed
T000134,2026-07-14,L02,consumer,Category C,2,24.0,completed
T000135,2026-07-14,L02,consumer,Category D,3,45.0,completed
T000136,2026-07-14,L02,consumer,Category D,4,44.0,completed
T000137,2026-07-14,L02,consumer,Category C,1,20.0,completed
T000138,2026-07-14,L02,consumer,Category B,2,46.0,completed
T000139,2026-07-14,L02,consumer,Category A,6,138.0,completed
T000140,2026-07-14,L02,consumer,Category A,6,96.0,completed
T000141,2026-07-14,L02,consumer,Category C,3,54.0,completed
T000142,2026-07-14,L02,consumer,Category B,3,36.0,completed
T000143,2026-07-14,L02,consumer,Category C,1,19.0,completed
T000144,2026-07-14,L02,consumer,Category B,2,26.0,completed
T000145,2026-07-14,L02,consumer,Category D,1,8.0,completed
T000146,2026-07-14,L02,consumer,Category A,5,105.0,completed
T000147,2026-07-14,L02,business,Category B,3,24.0,completed
T000148,2026-07-14,L02,business,Category D,4,48.0,completed
T000149,2026-07-14,L02,consumer,Category B,5,75.0,completed
T000150,2026-07-14,L03,consumer,Category D,3,48.0,completed
T000151,2026-07-14,L03,consumer,Category D,5,100.0,cancelled
T000152,2026-07-14,L03,consumer,Category B,5,50.0,completed
T000153,2026-07-14,L03,consumer,Category B,2,48.0,completed
T000154,2026-07-14,L03,business,Category A,6,102.0,completed
T000155,2026-07-14,L03,consumer,Category A,5,50.0,completed
T000156,2026-07-14,L03,consumer,Category A,2,44.0,completed
T000157,2026-07-14,L03,business,Category C,5,85.0,completed
T000158,2026-07-14,L03,consumer,Category B,3,45.0,completed
T000159,2026-07-14,L03,consumer,Category A,4,92.0,completed
T000160,2026-07-14,L03,consumer,Category C,2,28.0,completed
T000161,2026-07-14,L03,business,Category C,5,105.0,completed
T000162,2026-07-14,L03,consumer,Category D,1,12.0,completed
T000163,2026-07-14,L03,consumer,Category C,3,63.0,completed
T000164,2026-07-14,L03,consumer,Category D,6,54.0,completed
T000165,2026-07-14,L03,consumer,Category B,2,44.0,completed
T000166,2026-07-14,L03,consumer,Category B,3,24.0,completed
T000167,2026-07-14,L03,consumer,Category B,1,22.0,completed
T000168,2026-07-14,L03,business,Category C,3,60.0,completed
T000169,2026-07-15,L01,business,Category D,3,51.0,completed
T000170,2026-07-15,L01,business,Category B,3,42.0,cancelled
T000171,2026-07-15,L01,consumer,Category C,6,138.0,completed
T000172,2026-07-15,L01,consumer,Category D,1,14.0,completed
T000173,2026-07-15,L01,business,Category A,6,138.0,completed
T000174,2026-07-15,L01,consumer,Category A,5,80.0,completed
T000175,2026-07-15,L01,consumer,Category A,5,125.0,completed
T000176,2026-07-15,L01,consumer,Category B,5,125.0,completed
T000177,2026-07-15,L01,consumer,Category B,1,24.0,completed
T000178,2026-07-15,L01,business,Category A,4,80.0,completed
T000179,2026-07-15,L01,business,Category B,5,120.0,completed
T000180,2026-07-15,L01,consumer,Category B,5,60.0,completed
T000181,2026-07-15,L01,consumer,Category A,3,42.0,cancelled
T000182,2026-07-15,L01,business,Category B,5,95.0,completed
T000183,2026-07-15,L02,consumer,Category A,4,88.0,completed
T000184,2026-07-15,L02,consumer,Category C,6,96.0,completed
T000185,2026-07-15,L02,business,Category A,3,69.0,completed
T000186,2026-07-15,L02,consumer,Category A,2,22.0,completed
T000187,2026-07-15,L02,consumer,Category A,2,44.0,completed
T000188,2026-07-15,L02,consumer,Category A,4,76.0,completed
T000189,2026-07-15,L02,consumer,Category D,6,120.0,completed
T000190,2026-07-15,L02,consumer,Category B,1,21.0,cancelled
T000191,2026-07-15,L02,consumer,Category D,5,125.0,completed
T000192,2026-07-15,L02,business,Category B,6,144.0,completed
T000193,2026-07-15,L02,consumer,Category D,2,36.0,completed
T000194,2026-07-15,L02,business,Category B,4,48.0,completed
T000195,2026-07-15,L02,business,Category D,5,60.0,completed
T000196,2026-07-15,L02,consumer,Category C,1,19.0,completed
T000197,2026-07-15,L02,consumer,Category B,5,85.0,cancelled
T000198,2026-07-15,L02,consumer,Category D,4,96.0,cancelled
T000199,2026-07-15,L02,consumer,Category D,2,30.0,completed
T000200,2026-07-15,L02,consumer,Category B,6,60.0,completed
T000201,2026-07-15,L03,consumer,Category A,6,84.0,completed
T000202,2026-07-15,L03,consumer,Category D,5,100.0,completed
T000203,2026-07-15,L03,consumer,Category D,1,11.0,completed
T000204,2026-07-15,L03,consumer,Category A,2,48.0,completed
T000205,2026-07-15,L03,consumer,Category B,3,27.0,completed
T000206,2026-07-15,L03,consumer,Category A,4,36.0,completed
T000207,2026-07-15,L03,consumer,Category B,2,32.0,completed
T000208,2026-07-15,L03,consumer,Category C,4,68.0,completed
T000209,2026-07-15,L03,consumer,Category D,3,63.0,cancelled
T000210,2026-07-15,L03,consumer,Category B,3,54.0,completed
T000211,2026-07-15,L03,consumer,Category C,3,60.0,completed
T000212,2026-07-15,L03,consumer,Category C,4,100.0,completed
T000213,2026-07-15,L03,consumer,Category D,4,56.0,completed
T000214,2026-07-15,L03,consumer,Category D,3,57.0,completed
T000215,2026-07-15,L03,consumer,Category A,4,100.0,completed
T000216,2026-07-15,L03,consumer,Category D,6,144.0,completed
T000217,2026-07-15,L03,consumer,Category B,3,54.0,completed
T000218,2026-07-15,L03,consumer,Category C,6,84.0,completed
T000219,2026-07-16,L01,business,Category A,6,132.0,completed
T000220,2026-07-16,L01,consumer,Category D,3,66.0,completed
T000221,2026-07-16,L01,consumer,Category A,4,32.0,completed
T000222,2026-07-16,L01,consumer,Category D,2,26.0,completed
T000223,2026-07-16,L01,consumer,Category B,1,25.0,completed
T000224,2026-07-16,L01,consumer,Category B,3,33.0,completed
T000225,2026-07-16,L01,consumer,Category A,6,138.0,completed
T000226,2026-07-16,L01,consumer,Category B,6,102.0,completed
T000227,2026-07-16,L01,consumer,Category B,1,19.0,completed
T000228,2026-07-16,L01,consumer,Category C,3,33.0,completed
T000229,2026-07-16,L01,consumer,Category B,2,36.0,completed
T000230,2026-07-16,L01,consumer,Category C,1,14.0,completed
T000231,2026-07-16,L01,consumer,Category A,6,66.0,completed
T000232,2026-07-16,L01,consumer,Category C,5,120.0,completed
T000233,2026-07-16,L01,consumer,Category A,6,60.0,completed
T000234,2026-07-16,L01,consumer,Category D,3,27.0,completed
T000235,2026-07-16,L01,consumer,Category B,6,144.0,completed
T000236,2026-07-16,L02,consumer,Category B,4,32.0,completed
T000237,2026-07-16,L02,consumer,Category B,4,96.0,completed
T000238,2026-07-16,L02,business,Category C,1,10.0,completed
T000239,2026-07-16,L02,consumer,Category D,3,72.0,completed
T000240,2026-07-16,L02,consumer,Category C,2,44.0,completed
T000241,2026-07-16,L02,consumer,Category D,3,36.0,completed
T000242,2026-07-16,L02,consumer,Category A,2,24.0,completed
T000243,2026-07-16,L02,consumer,Category A,4,88.0,completed
T000244,2026-07-16,L02,consumer,Category B,6,138.0,completed
T000245,2026-07-16,L02,consumer,Category D,6,138.0,completed
T000246,2026-07-16,L02,consumer,Category A,3,72.0,cancelled
T000247,2026-07-16,L02,consumer,Category C,5,40.0,completed
T000248,2026-07-16,L02,consumer,Category B,3,75.0,completed
T000249,2026-07-16,L02,consumer,Category C,3,60.0,completed
T000250,2026-07-16,L02,business,Category D,3,33.0,completed
T000251,2026-07-16,L02,consumer,Category D,2,18.0,completed
T000252,2026-07-16,L02,consumer,Category D,4,44.0,completed
T000253,2026-07-16,L02,consumer,Category D,2,32.0,completed
T000254,2026-07-16,L02,consumer,Category A,5,60.0,completed
T000255,2026-07-16,L03,consumer,Category A,3,33.0,completed
T000256,2026-07-16,L03,consumer,Category C,4,44.0,completed
T000257,2026-07-16,L03,consumer,Category B,5,110.0,completed
T000258,2026-07-16,L03,consumer,Category A,2,32.0,completed
T000259,2026-07-16,L03,consumer,Category B,6,108.0,completed
T000260,2026-07-16,L03,consumer,Category B,4,88.0,completed
T000261,2026-07-16,L03,consumer,Category D,5,95.0,completed
T000262,2026-07-16,L03,business,Category B,2,28.0,completed
T000263,2026-07-16,L03,consumer,Category A,1,22.0,completed
T000264,2026-07-16,L03,business,Category A,4,56.0,cancelled
T000265,2026-07-16,L03,consumer,Category C,2,30.0,completed
T000266,2026-07-16,L03,consumer,Category A,6,90.0,completed
T000267,2026-07-16,L03,consumer,Category D,2,48.0,completed
T000268,2026-07-16,L03,consumer,Category D,2,26.0,completed
T000269,2026-07-16,L03,consumer,Category C,1,16.0,cancelled
T000270,2026-07-17,L01,consumer,Category A,3,30.0,completed
T000271,2026-07-17,L01,business,Category D,1,17.0,completed
T000272,2026-07-17,L01,consumer,Category C,6,102.0,completed
T000273,2026-07-17,L01,consumer,Category B,1,22.0,completed
T000274,2026-07-17,L01,consumer,Category A,3,60.0,completed
T000275,2026-07-17,L01,consumer,Category A,3,24.0,completed
T000276,2026-07-17,L01,consumer,Category B,6,102.0,completed
T000277,2026-07-17,L01,business,Category C,2,48.0,completed
T000278,2026-07-17,L01,consumer,Category B,4,48.0,completed
T000279,2026-07-17,L01,business,Category B,3,45.0,completed
T000280,2026-07-17,L01,business,Category A,4,32.0,completed
T000281,2026-07-17,L01,consumer,Category A,5,95.0,completed
T000282,2026-07-17,L01,business,Category D,5,95.0,completed
T000283,2026-07-17,L01,consumer,Category A,2,40.0,completed
T000284,2026-07-17,L01,consumer,Category A,4,44.0,completed
T000285,2026-07-17,L01,consumer,Category D,1,9.0,completed
T000286,2026-07-17,L01,consumer,Category D,5,125.0,completed
T000287,2026-07-17,L01,consumer,Category D,2,30.0,completed
T000288,2026-07-17,L01,consumer,Category D,1,17.0,completed
T000289,2026-07-17,L01,consumer,Category C,1,18.0,completed
T000290,2026-07-17,L01,consumer,Category B,3,72.0,completed
T000291,2026-07-17,L02,consumer,Category D,4,36.0,completed
T000292,2026-07-17,L02,consumer,Category B,4,56.0,completed
T000293,2026-07-17,L02,business,Category B,3,36.0,completed
T000294,2026-07-17,L02,business,Category A,4,36.0,completed
T000295,2026-07-17,L02,consumer,Category D,6,84.0,completed
T000296,2026-07-17,L02,consumer,Category D,3,30.0,completed
T000297,2026-07-17,L02,business,Category C,2,34.0,completed
T000298,2026-07-17,L02,consumer,Category C,6,48.0,completed
T000299,2026-07-17,L02,consumer,Category C,2,30.0,completed
T000300,2026-07-17,L02,business,Category C,1,16.0,completed
T000301,2026-07-17,L02,business,Category C,1,15.0,completed
T000302,2026-07-17,L02,consumer,Category C,6,72.0,completed
T000303,2026-07-17,L02,consumer,Category D,3,57.0,completed
T000304,2026-07-17,L02,consumer,Category A,6,150.0,completed
T000305,2026-07-17,L03,business,Category A,3,75.0,completed
T000306,2026-07-17,L03,consumer,Category A,2,26.0,completed
T000307,2026-07-17,L03,consumer,Category C,3,39.0,completed
T000308,2026-07-17,L03,business,Category A,4,32.0,completed
T000309,2026-07-17,L03,business,Category B,1,8.0,completed
T000310,2026-07-17,L03,consumer,Category C,1,18.0,completed
T000311,2026-07-17,L03,consumer,Category A,5,85.0,completed
T000312,2026-07-17,L03,consumer,Category A,1,21.0,completed
T000313,2026-07-17,L03,business,Category B,1,13.0,completed
T000314,2026-07-17,L03,consumer,Category A,1,9.0,completed
T000315,2026-07-17,L03,business,Category A,4,48.0,completed
T000316,2026-07-17,L03,consumer,Category A,3,27.0,completed
T000317,2026-07-17,L03,consumer,Category D,3,45.0,completed
T000318,2026-07-17,L03,business,Category B,5,60.0,completed
T000319,2026-07-18,L01,consumer,Category C,1,18.0,completed
T000320,2026-07-18,L01,consumer,Category B,5,65.0,cancelled
T000321,2026-07-18,L01,consumer,Category A,5,120.0,completed
T000322,2026-07-18,L01,consumer,Category B,3,72.0,completed
T000323,2026-07-18,L01,consumer,Category D,4,40.0,completed
T000324,2026-07-18,L01,consumer,Category D,4,32.0,completed
T000325,2026-07-18,L01,consumer,Category D,6,126.0,completed
T000326,2026-07-18,L01,consumer,Category C,5,70.0,completed
T000327,2026-07-18,L01,consumer,Category A,1,14.0,completed
T000328,2026-07-18,L01,consumer,Category A,2,24.0,completed
T000329,2026-07-18,L01,consumer,Category C,6,114.0,completed
T000330,2026-07-18,L01,consumer,Category B,3,45.0,completed
T000331,2026-07-18,L01,consumer,Category B,6,114.0,completed
T000332,2026-07-18,L01,business,Category C,6,48.0,completed
T000333,2026-07-18,L02,consumer,Category C,2,32.0,cancelled
T000334,2026-07-18,L02,consumer,Category D,6,66.0,completed
T000335,2026-07-18,L02,consumer,Category C,2,36.0,completed
T000336,2026-07-18,L02,consumer,Category B,5,80.0,completed
T000337,2026-07-18,L02,business,Category D,6,90.0,completed
T000338,2026-07-18,L02,consumer,Category C,5,105.0,completed
T000339,2026-07-18,L02,consumer,Category C,2,24.0,completed
T000340,2026-07-18,L02,business,Category B,3,24.0,completed
T000341,2026-07-18,L02,consumer,Category C,5,95.0,completed
T000342,2026-07-18,L02,business,Category C,3,30.0,completed
T000343,2026-07-18,L02,consumer,Category C,3,48.0,completed
T000344,2026-07-18,L02,consumer,Category D,3,48.0,completed
T000345,2026-07-18,L02,consumer,Category A,4,40.0,completed
T000346,2026-07-18,L02,consumer,Category D,3,57.0,completed
T000347,2026-07-18,L03,consumer,Category B,1,22.0,completed
T000348,2026-07-18,L03,consumer,Category D,5,75.0,completed
T000349,2026-07-18,L03,consumer,Category A,2,18.0,completed
T000350,2026-07-18,L03,consumer,Category B,1,23.0,completed
